date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,CNY,adj_close
2007-01-01,CHN,CNY,China,11,7.7743,1.41491838493498,-0.56058,0,-
2007-01-01,IDN,IDR,Indonesia,15900,9090,1.74917491749175,-0.45678,0.23624,-
2007-01-01,USA,USD,United States,3.22,1,3.22,0,1.27575,-
2007-06-01,ARG,ARS,Argentina,8.25,3.0915,2.66860747210092,-0.21742,0.84491,90.8
2007-06-01,CHN,CNY,China,11,7.6047,1.44647389114626,-0.57581,0,90.8
2007-06-01,IDN,IDR,Indonesia,15900,9015,1.76372712146423,-0.48278,0.21933,90.8
2007-06-01,USA,USD,United States,3.41,1,3.41,0,1.35746,90.8
2008-06-01,ARG,ARS,Argentina,11,3.0195,3.64298724954463,0.02044,0.99169,96.07
2008-06-01,CHN,CNY,China,12.5,6.834,1.82908984489318,-0.48765,0,96.07
2008-06-01,IDN,IDR,Indonesia,18700,9152,2.04326923076923,-0.42766,0.1171,96.07
2008-06-01,USA,USD,United States,3.57,1,3.57,0,0.95179,96.07
2009-07-01,ARG,ARS,Argentina,11.5,3.81125,3.01738274844211,-0.15479,0.64935,85.75
2009-07-01,CHN,CNY,China,12.5,6.8327,1.82943785033735,-0.48755,0,85.75
2009-07-01,IDN,IDR,Indonesia,20900,10200,2.04901960784314,-0.42604,0.12003,85.75
2009-07-01,USA,USD,United States,3.57,1,3.57,0,0.95142,85.75
2010-01-01,ARG,ARS,Argentina,7,3.7985,1.84283269711728,-0.48524,0.00651,86.5
2010-01-01,CHN,CNY,China,12.5,6.8272,1.83091164752754,-0.48857,0,86.5
2010-01-01,IDN,IDR,Indonesia,20900,9320,2.24248927038627,-0.37361,0.22479,86.5
2010-01-01,USA,USD,United States,3.58,1,3.58,0,0.95531,86.5
2010-07-01,ARG,ARS,Argentina,14,3.93375,3.55894502700985,-0.04671,0.82717,89.95
2010-07-01,CHN,CNY,China,13.2,6.7769,1.9477932387965,-0.47827,0,89.95
2010-07-01,IDN,IDR,Indonesia,22780,9063,2.51351649564162,-0.32674,0.29044,89.95
2010-07-01,USA,USD,United States,3.733333333,1,3.733333333,0,0.9167,89.95
2011-07-01,ARG,ARS,Argentina,20,4.1325,4.83968542044767,0.19057,1.12913,112.85
2011-07-01,CHN,CNY,China,14.65,6.445,2.27307990690458,-0.44082,0,112.85
2011-07-01,IDN,IDR,Indonesia,22534,8523,2.64390472838203,-0.34959,0.16314,112.85
2011-07-01,USA,USD,United States,4.065,1,4.065,0,0.78832,112.85
2012-01-01,ARG,ARS,Argentina,20,4.3135,4.63660600440478,0.10469,0.90146,122
2012-01-01,CHN,CNY,China,15.4,6.3155,2.43844509540021,-0.41903,0,122
2012-01-01,IDN,IDR,Indonesia,22534,9160,2.46004366812227,-0.41389,0.00886,122
2012-01-01,USA,USD,United States,4.19722,1,4.19722,0,0.72127,122
2012-07-01,ARG,ARS,Argentina,19,4.56625,4.16096359156857,-0.03848,0.69855,120.05
2012-07-01,CHN,CNY,China,15.65,6.3885,2.4497143304375,-0.43392,0,120.05
2012-07-01,IDN,IDR,Indonesia,24200,9482.5,2.55206960189823,-0.41027,0.04178,120.05
2012-07-01,USA,USD,United States,4.3275,1,4.3275,0,0.76653,120.05
2013-01-01,ARG,ARS,Argentina,19,4.9765,3.81794433839043,-0.12581,0.48432,132.95
2013-01-01,CHN,CNY,China,16,6.2204,2.57218185325703,-0.41105,0,132.95
2013-01-01,IDN,IDR,Indonesia,27939,9767.5,2.86040440235475,-0.34505,0.11205,132.95
2013-01-01,USA,USD,United States,4.367395833,1,4.367395833,0,0.69793,132.95
2013-07-01,ARG,ARS,Argentina,21,5.4125,3.87990762124711,-0.14852,0.48748,122.18
2013-07-01,CHN,CNY,China,16,6.1341,2.60836960597317,-0.42757,0,122.18
2013-07-01,IDN,IDR,Indonesia,27939,9965,2.80371299548419,-0.3847,0.07489,122.18
2013-07-01,USA,USD,United States,4.556666667,1,4.556666667,0,0.74694,122.18
2014-01-01,ARG,ARS,Argentina,21,6.92125,3.03413400758534,-0.34385,0.10605,134.93
2014-01-01,CHN,CNY,China,16.6,6.0513,2.74321220233669,-0.40677,0,134.93
2014-01-01,IDN,IDR,Indonesia,27939,12140,2.30140032948929,-0.50231,-0.16106,134.93
2014-01-01,USA,USD,United States,4.624166667,1,4.624166667,0,0.68568,134.93
2014-07-01,ARG,ARS,Argentina,21,8.16875,2.5707727620505,-0.46386,-0.05713,151.5
2014-07-01,CHN,CNY,China,16.9,6.1983,2.72655405514415,-0.43138,0,151.5
2014-07-01,IDN,IDR,Indonesia,27939,11505,2.42842242503259,-0.49355,-0.10934,151.5
2014-07-01,USA,USD,United States,4.795,1,4.795,0,0.75863,151.5
2015-01-01,ARG,ARS,Argentina,28,8.61,3.2520325203252,-0.32108,0.17442,165.48
2015-01-01,CHN,CNY,China,17.2,6.2115,2.76905739354423,-0.42191,0,165.48
2015-01-01,IDN,IDR,Indonesia,27939,12480,2.23870192307692,-0.53263,-0.19153,165.48
2015-01-01,USA,USD,United States,4.79,1,4.79,0,0.72983,165.48
2015-07-01,ARG,ARS,Argentina,28,9.135,3.06513409961686,-0.3601,0.11953,151.07
2015-07-01,CHN,CNY,China,17,6.2092,2.73787283385943,-0.42842,0,151.07
2015-07-01,IDN,IDR,Indonesia,30500,13344.5,2.28558582187418,-0.52284,-0.1652,151.07
2015-07-01,USA,USD,United States,4.79,1,4.79,0,0.74953,151.07
2016-01-01,ARG,ARS,Argentina,33,13.80925,2.3897025544472,-0.51527,-0.10954,135.57
2016-01-01,CHN,CNY,China,17.6,6.5582,2.68366320026837,-0.45565,0,135.57
2016-01-01,IDN,IDR,Indonesia,30500,13947.5,2.18677182290733,-0.55644,-0.18515,135.57
2016-01-01,USA,USD,United States,4.93,1,4.93,0,0.83704,135.57
2016-07-01,ARG,ARS,Argentina,50,14.935,3.3478406427854,-0.33575,0.20198,112.97
2016-07-01,CHN,CNY,China,18.6,6.678,2.78526504941599,-0.44737,0,112.97
