Date,Open,High,Low,Close*,Adj Close**,Volume
2/22/2021,115.55,115.9,115.47,115.72,115.72,"3,623"
2/19/2021,115.28,116.25,115.28,115.93,115.93,"1,490"
2/18/2021,115.68,116.07,114.75,115.13,115.13,"2,192"
2/17/2021,115.72,116.5,115.05,115.3,115.3,"5,188"
2/16/2021,117.43,118.07,115.97,116.15,116.15,"6,157"
2/12/2021,116.5,118,116.25,117.2,117.2,"5,288"
2/11/2021,115.75,116.05,115.25,115.32,115.32,"11,325"
2/10/2021,116.57,116.85,115.88,116.13,116.13,"8,028"
2/9/2021,116.35,118.4,116.35,117.45,117.45,"5,376"
2/8/2021,116.45,117.2,116.2,116.57,116.57,"9,219"
2/5/2021,116.18,116.85,116.1,116.72,116.72,"8,520"
2/4/2021,115.47,116.55,115.28,116.45,116.45,"7,546"
2/3/2021,116.18,116.3,115.4,115.47,115.47,"9,320"
2/2/2021,114.93,116.1,114.93,115.97,115.97,"7,835"
2/1/2021,115.2,115.57,114.72,114.88,114.88,"7,381"
1/29/2021,116.1,116.75,114.88,115.05,115.05,"13,907"
1/28/2021,116.45,116.57,115.95,116,116,"10,673"
1/27/2021,116.78,116.97,116,116.45,116.45,"6,717"
1/26/2021,116.5,117.63,116.47,117,117,"10,797"
1/25/2021,115.97,117.05,115.95,116.53,116.53,"11,989"
1/22/2021,114.53,116.78,114.18,116.72,116.72,"17,252"
1/21/2021,113.05,114.38,113.05,114.1,114.1,"10,289"
1/20/2021,113.13,114.22,113.05,113.35,113.35,"15,975"
1/19/2021,112.93,113.9,112.1,113.32,113.32,"18,181"
1/15/2021,112.2,113.3,111.9,112.78,112.78,"21,605"
1/14/2021,112.07,112.47,111.53,112.07,112.07,"28,065"
1/13/2021,112.47,112.78,111.63,112.25,112.25,"36,308"
1/12/2021,113.28,113.3,112.35,112.47,112.47,"34,583"
1/11/2021,114.35,114.38,113.07,113.4,113.4,"35,151"
1/8/2021,114.8,115,114.13,114.47,114.47,"26,989"
1/7/2021,114.7,115.28,114.53,114.97,114.97,"18,175"
1/6/2021,114.75,115.68,114.35,115,115,"21,041"
1/5/2021,112.7,115.5,111.35,115.05,115.05,"30,450"
1/4/2021,115.3,115.38,111.5,112.3,112.3,"32,253"
